Date,Warsaw HPI
2018-02-28,0.059859154929578
2018-01-31,0.064782096584217
2017-12-31,0.065959952885748
2017-11-30,0.054245283018868
2017-10-31,0.036513545347467986
2017-09-30,0.029481132075472
2017-08-31,0.023640661938534
2017-07-31,0.018979833926453
2017-06-30,0.016627078384798002
2017-05-31,0.0035087719298246
2017-04-30,-0.011441647597254
2017-03-31,-0.031531531531532
2017-02-28,-0.040540540540541
2017-01-31,-0.028604118993135
2016-12-31,-0.0070175438596491
2016-11-30,0.004739336492891
2016-10-31,0.019207683073229
2016-09-30,0.035409035409035006
2016-08-31,0.049627791563275
2016-07-31,0.055068836045056
2016-06-30,0.057788944723618
2016-05-31,0.071428571428571
2016-04-30,0.096612296110414
2016-03-31,0.1183879093199
2016-02-29,0.12262958280657
2016-01-31,0.10214375788146
2015-12-31,0.071428571428571
2015-11-30,0.048447204968944
2015-10-31,0.032218091697646
2015-09-30,0.016129032258064
2015-08-31,0.0049875311720698
2015-07-31,0.0025094102885822
2015-06-30,0.0050505050505051
2015-05-31,0.0
2015-04-30,-0.016049382716049
2015-03-31,-0.020961775585697
2015-02-28,-0.016169154228856
2015-01-31,-0.0099875156054931
2014-12-31,-0.0099255583126551
2014-11-30,-0.0037128712871287
2014-10-31,-0.0012376237623762
2014-09-30,-0.0061652281134402
2014-08-31,-0.027878787878788
